Date Debut;Maturit̩;Rate;;;
0D;1D;0,962;;;
0D;7D;0,9792;;;
0D;14D;0,9935;;;
0D;1M;0,9878;;;
0D;2M;0,975;;;
0D;3M;0,97;;;
0D;4M;0,975;;;
0D;5M;0,97;;;
0D;6M;0,9705;;;
0D;7M;0,965;;;
0D;8M;0,96;;;
0D;9M;0,955;;;
0D;10M;0,955;;;
0D;11M;0,95;;;
0D;1Y;0,945;;;
0D;18M;0,945;;;
0D;2Y;0,95;;;
0D;30M;0,96;;;
0D;3Y;0,98;;;
0D;4Y;1,03;;;
0D;5Y;1,109;;;
0D;6Y;1,213;;;
0D;7Y;1,337;;;
0D;8Y;1,468;;;
0D;9Y;1,596;;;
0D;10Y;1,716;;;
0D;11Y;1,825;;;
0D;12Y;1,923;;;
0D;15Y;2,159;;;
0D;20Y;2,402;;;
0D;25Y;2,5145;;;
0D;30Y;2,573;;;